+ .venv/bin/python -m twomove.sweep --stage s2b --materials k_pawns8 --regimes ET --games 512 --nodes 12000 --out experiments/results/ocean --workers 20
1 points, 512 games max
  [s2b-k_pawns8-ET] 298/512 games (2257/h, eta 6m)
  [s2b-k_pawns8-ET] 299/512 games (2262/h, eta 6m)
  [s2b-k_pawns8-ET] 300/512 games (2268/h, eta 6m)
  [s2b-k_pawns8-ET] 301/512 games (2268/h, eta 6m)
  [s2b-k_pawns8-ET] 302/512 games (2275/h, eta 6m)
  [s2b-k_pawns8-ET] 303/512 games (2266/h, eta 6m)
  [s2b-k_pawns8-ET] 304/512 games (2269/h, eta 6m)
  [s2b-k_pawns8-ET] 305/512 games (2237/h, eta 6m)
  [s2b-k_pawns8-ET] 306/512 games (2243/h, eta 6m)
  [s2b-k_pawns8-ET] 307/512 games (2248/h, eta 5m)
  [s2b-k_pawns8-ET] 308/512 games (2255/h, eta 5m)
  [s2b-k_pawns8-ET] 309/512 games (2257/h, eta 5m)
  [s2b-k_pawns8-ET] 310/512 games (2262/h, eta 5m)
  [s2b-k_pawns8-ET] 311/512 games (2269/h, eta 5m)
  [s2b-k_pawns8-ET] 312/512 games (2275/h, eta 5m)
  [s2b-k_pawns8-ET] 313/512 games (2282/h, eta 5m)
  [s2b-k_pawns8-ET] 314/512 games (2265/h, eta 5m)
  [s2b-k_pawns8-ET] 315/512 games (2269/h, eta 5m)
  [s2b-k_pawns8-ET] 316/512 games (2262/h, eta 5m)
  [s2b-k_pawns8-ET] 317/512 games (2265/h, eta 5m)
  [s2b-k_pawns8-ET] 318/512 games (2263/h, eta 5m)
  [s2b-k_pawns8-ET] 319/512 games (2253/h, eta 5m)
  [s2b-k_pawns8-ET] 320/512 games (2257/h, eta 5m)
  [s2b-k_pawns8-ET] 321/512 games (2257/h, eta 5m)
  [s2b-k_pawns8-ET] 322/512 games (2264/h, eta 5m)
  [s2b-k_pawns8-ET] 323/512 games (2269/h, eta 5m)
  [s2b-k_pawns8-ET] 324/512 games (2274/h, eta 5m)
  [s2b-k_pawns8-ET] 325/512 games (2281/h, eta 5m)
  [s2b-k_pawns8-ET] 326/512 games (2281/h, eta 5m)
  [s2b-k_pawns8-ET] 327/512 games (2284/h, eta 5m)
  [s2b-k_pawns8-ET] 328/512 games (2290/h, eta 5m)
  [s2b-k_pawns8-ET] 329/512 games (2290/h, eta 5m)
  [s2b-k_pawns8-ET] 330/512 games (2284/h, eta 5m)
  [s2b-k_pawns8-ET] 331/512 games (2282/h, eta 5m)
  [s2b-k_pawns8-ET] 332/512 games (2286/h, eta 5m)
  [s2b-k_pawns8-ET] 333/512 games (2292/h, eta 5m)
  [s2b-k_pawns8-ET] 334/512 games (2281/h, eta 5m)
  [s2b-k_pawns8-ET] 335/512 games (2279/h, eta 5m)
  [s2b-k_pawns8-ET] 336/512 games (2284/h, eta 5m)
  [s2b-k_pawns8-ET] 337/512 games (2290/h, eta 5m)
  [s2b-k_pawns8-ET] 338/512 games (2291/h, eta 5m)
  [s2b-k_pawns8-ET] 339/512 games (2297/h, eta 5m)
  [s2b-k_pawns8-ET] 340/512 games (2302/h, eta 4m)
  [s2b-k_pawns8-ET] 341/512 games (2299/h, eta 4m)
  [s2b-k_pawns8-ET] 342/512 games (2302/h, eta 4m)
  [s2b-k_pawns8-ET] 343/512 games (2281/h, eta 4m)
  [s2b-k_pawns8-ET] 344/512 games (2281/h, eta 4m)
  [s2b-k_pawns8-ET] 345/512 games (2279/h, eta 4m)
  [s2b-k_pawns8-ET] 346/512 games (2286/h, eta 4m)
  [s2b-k_pawns8-ET] 347/512 games (2285/h, eta 4m)
  [s2b-k_pawns8-ET] 348/512 games (2286/h, eta 4m)
  [s2b-k_pawns8-ET] 349/512 games (2292/h, eta 4m)
  [s2b-k_pawns8-ET] 350/512 games (2291/h, eta 4m)
  [s2b-k_pawns8-ET] 351/512 games (2291/h, eta 4m)
  [s2b-k_pawns8-ET] 352/512 games (2296/h, eta 4m)
  [s2b-k_pawns8-ET] 353/512 games (2297/h, eta 4m)
  [s2b-k_pawns8-ET] 354/512 games (2302/h, eta 4m)
  [s2b-k_pawns8-ET] 355/512 games (2305/h, eta 4m)
  [s2b-k_pawns8-ET] 356/512 games (2293/h, eta 4m)
  [s2b-k_pawns8-ET] 357/512 games (2283/h, eta 4m)
  [s2b-k_pawns8-ET] 358/512 games (2284/h, eta 4m)
  [s2b-k_pawns8-ET] 359/512 games (2282/h, eta 4m)
  [s2b-k_pawns8-ET] 360/512 games (2285/h, eta 4m)
  [s2b-k_pawns8-ET] 361/512 games (2262/h, eta 4m)
  [s2b-k_pawns8-ET] 362/512 games (2268/h, eta 4m)
  [s2b-k_pawns8-ET] 363/512 games (2273/h, eta 4m)
  [s2b-k_pawns8-ET] 364/512 games (2275/h, eta 4m)
  [s2b-k_pawns8-ET] 365/512 games (2280/h, eta 4m)
  [s2b-k_pawns8-ET] 366/512 games (2278/h, eta 4m)
  [s2b-k_pawns8-ET] 367/512 games (2284/h, eta 4m)
  [s2b-k_pawns8-ET] 368/512 games (2288/h, eta 4m)
  [s2b-k_pawns8-ET] 369/512 games (2290/h, eta 4m)
  [s2b-k_pawns8-ET] 370/512 games (2295/h, eta 4m)
  [s2b-k_pawns8-ET] 371/512 games (2301/h, eta 4m)
  [s2b-k_pawns8-ET] 372/512 games (2286/h, eta 4m)
  [s2b-k_pawns8-ET] 373/512 games (2290/h, eta 4m)
  [s2b-k_pawns8-ET] 374/512 games (2293/h, eta 4m)
  [s2b-k_pawns8-ET] 375/512 games (2299/h, eta 4m)
  [s2b-k_pawns8-ET] 376/512 games (2304/h, eta 4m)
  [s2b-k_pawns8-ET] 377/512 games (2278/h, eta 4m)
  [s2b-k_pawns8-ET] 378/512 games (2272/h, eta 4m)
  [s2b-k_pawns8-ET] 379/512 games (2277/h, eta 4m)
  [s2b-k_pawns8-ET] 380/512 games (2276/h, eta 3m)
  [s2b-k_pawns8-ET] 381/512 games (2273/h, eta 3m)
  [s2b-k_pawns8-ET] 382/512 games (2278/h, eta 3m)
  [s2b-k_pawns8-ET] 383/512 games (2272/h, eta 3m)
